出現形	ICDコード	標準病名	しゅつげんけい	東大診療録頻度
慢性甲状腺炎	E063	慢性甲状腺炎	まんせいこうじょうせんえん	13621
肝血管腫	D180	肝血管腫	かんけっかんしゅ	13546
項部硬直	R298	項部硬直	こうぶこうちょく	13523
妊娠	Z33	妊娠	にんしん	13493
代謝性アシドーシス	E872	代謝性アシドーシス	たいしゃせいあしどーしす	13486
痔核	I849	痔核	じかく	13475
心配	R452	心配	しんぱい	13191
慢性硬膜下血腫	I620	慢性硬膜下血腫	まんせいこうまくかけっしゅ	13110
急性心不全	I509	急性心不全	きゅうせいしんふぜん	13043
丘疹	R238	丘疹	きゅうしん	13002
麻疹	B059	麻疹	ましん	12987
皮下血腫	T140	皮下血腫	ひかけっしゅ	12969
嚥下困難	R13	嚥下困難	えんげこんなん	12878
痂皮	R238	痂皮	かひ	12874
視力障害	H539	視力障害	しりょくしょうがい	12782
胃腸炎	A09	胃腸炎	いちょうえん	12710
重症筋無力症	G700	重症筋無力症	じゅうしょうきんむりょくしょう	12668
Ｂ型肝炎	B169	Ｂ型肝炎	びーがたかんえん	12595
紅色丘疹	R238	紅色丘疹	こうしょくきゅうしん	12552
下肢静脈瘤	I839	下肢静脈瘤	かしじょうみゃくりゅう	12546
頭重感	R51	頭重感	ずじゅうかん	12471
正球性貧血	D649	正球性貧血	せいきゅうせいひんけつ	12444
濾胞性リンパ腫	C829	濾胞性リンパ腫	ろほうせいりんぱしゅ	12388
神経因性膀胱	N319	神経因性膀胱	しんけいいんせいぼうこう	12386
敗血症性ショック	A419	敗血症性ショック	はいけつしょうせいしょっく	12379
腹部圧痛	R104	腹部圧痛	ふくぶあっつう	12308
大動脈弁狭窄症	I350	大動脈弁狭窄症	だいどうみゃくべんきょうさくしょう	12224
大球性貧血	D529	大球性貧血	だいきゅうせいひんけつ	12216
月経困難症	N946	月経困難症	げっけいこんなんしょう	12144
上腹部痛	R101	上腹部痛	じょうふくぶつう	12095
発達障害	F89	発達障害	はったつしょうがい	12060
手足症候群	L271	手足症候群	てあししょうこうぐん	12024
視野障害	H534	視野障害	しやしょうがい	11972
こわばり	R208	こわばり	こわばり	11939
摂食障害	F509	摂食障害	せっしょくしょうがい	11863
再生不良性貧血	D619	再生不良性貧血	さいせいふりょうせいひんけつ	11648
気管支拡張症	J47	気管支拡張症	きかんしかくちょうしょう	11598
腹壁瘢痕ヘルニア	K439	腹壁瘢痕ヘルニア	ふくへきはんこんへるにあ	11576
胃炎	K297	胃炎	いえん	11571
顔面浮腫	R600	顔面浮腫	がんめんふしゅ	11549
耳漏	H921	耳漏	じろう	11530
膀胱腫瘍	D414	膀胱腫瘍	ぼうこうしゅよう	11525
高コレステロール血症	E780	高コレステロール血症	こうこれすてろーるけっしょう	11523
労作時呼吸困難	R060	労作時呼吸困難	ろうさじこきゅうこんなん	11282
冠攣縮性狭心症	I201	冠攣縮性狭心症	かんれんしゅくせいきょうしんしょう	11180
膀胱直腸障害	N319	膀胱直腸障害	ぼうこうちょくちょうしょうがい	11179
失神	R55	失神	しっしん	11116
盲腸癌	C180	盲腸癌	もうちょうがん	11037
インフルエンザ	J111	インフルエンザ	いんふるえんざ	10956
眼底出血	H356	眼底出血	がんていしゅっけつ	10938
急性胃腸炎	A09	急性胃腸炎	きゅうせいいちょうえん	10914
胆管癌	C240	胆管癌	たんかんがん	10900
急性心筋梗塞	I219	急性心筋梗塞	きゅうせいしんきんこうそく	10827
肋骨骨折	S2230	肋骨骨折	ろっこつこっせつ	10795
皮下腫瘤	R229	皮下腫瘤	ひかしゅりゅう	10789
突発性難聴	H912	突発性難聴	とっぱつせいなんちょう	10783
子宮癌	C55	子宮癌	しきゅうがん	10752
足白癬	B353	足白癬	あしはくせん	10745
間質性膀胱炎	N301	間質性膀胱炎	かんしつせいぼうこうえん	10708
膵体部癌	C251	膵体部癌	すいたいぶがん	10687
Ｃ型慢性肝炎	B182	Ｃ型慢性肝炎	しーがたまんせいかんえん	10666
労作性狭心症	I208	労作性狭心症	ろうさせいきょうしんしょう	10619
舌癌	C029	舌癌	ぜつがん	10574
感冒	J00	感冒	かんぼう	10535
点状出血	R233	点状出血	てんじょうしゅっけつ	10510
急性胆管炎	K830	急性胆管炎	きゅうせいたんかんえん	10442
洞不全症候群	I495	洞不全症候群	どうふぜんしょうこうぐん	10434
肝脾腫	R162	肝脾腫	かんひしゅ	10396
両側水腎症	N133	両側水腎症	りょうそくすいじんしょう	10336
胸部異常陰影	R91	胸部異常陰影	きょうぶいじょういんえい	10322
完全右脚ブロック	I451	完全右脚ブロック	かんぜんうきゃくぶろっく	10318
月経痛	N946	月経痛	げっけいつう	10209
腎機能低下	N289	腎機能低下	じんきのうていか	10159
癒着性イレウス	K565	癒着性イレウス	ゆちゃくせいいれうす	10135
無呼吸発作	R068	無呼吸発作	むこきゅうほっさ	10071
喀血	R042	喀血	かっけつ	10024
急性虫垂炎	K359	急性虫垂炎	きゅうせいちゅうすいえん	9956
易怒性	R454	易怒性	いどせい	9857
低アルブミン血症	E880	低アルブミン血症	ていあるぶみんけっしょう	9854
右心不全	I500	右心不全	うしんふぜん	9790
橋本病	E063	橋本病	はしもとびょう	9756
壊死	R02	壊死	えし	9723
虚血性腸炎	K559	虚血性腸炎	きょけつせいちょうえん	9596
神経症	F489	神経症	しんけいしょう	9593
皮膚損傷	T140	皮膚損傷	ひふそんしょう	9593
皮脂欠乏性湿疹	L853	皮脂欠乏性湿疹	ひしけつぼうせいしっしん	9566
頚部痛	M5422	頚部痛	けいぶつう	9565
風疹	B069	風疹	ふうしん	9537
過多月経	N920	過多月経	かたげっけい	9457
肺胞出血	R048	肺胞出血	はいほうしゅっけつ	9335
心筋虚血	I255	心筋虚血	しんきんきょけつ	9308
不安神経症	F411	不安神経症	ふあんしんけいしょう	9296
原発性アルドステロン症	E260	原発性アルドステロン症	げんぱつせいあるどすてろんしょう	9248
脂肪腫	D179	脂肪腫	しぼうしゅ	9238
網膜剥離	H332	網膜剥離	もうまくはくり	9200
胸部大動脈瘤	I712	胸部大動脈瘤	きょうぶだいどうみゃくりゅう	9179
肝内胆管癌	C221	肝内胆管癌	かんないたんかんがん	9176
脱臼	T143	脱臼	だっきゅう	9128
ラクナ梗塞	I638	ラクナ梗塞	らくなこうそく	9123
非結核性抗酸菌症	A319	非結核性抗酸菌症	ひけっかくせいこうさんきんしょう	9123
吻合部狭窄	T818	吻合部狭窄	ふんごうぶきょうさく	9121
開口障害	K075	開口障害	かいこうしょうがい	9120
バセドウ病	E050	バセドウ病	ばせどうびょう	9105
咳喘息	J459	咳喘息	せきぜんそく	9098
破傷風	A35	破傷風	はしょうふう	9002
肝炎	K759	肝炎	かんえん	8979
破水	O429	破水	はすい	8935
溶血性貧血	D589	溶血性貧血	ようけつせいひんけつ	8867
アルコール性肝硬変	K703	アルコール性肝硬変	あるこーるせいかんこうへん	8845
気道狭窄	J988	気道狭窄	きどうきょうさく	8830
硬膜下血腫	S065	硬膜下血腫	こうまくかけっしゅ	8806
不正性器出血	N939	不正性器出血	ふせいせいきしゅっけつ	8790
菌状息肉症	C840	菌状息肉症	きんじょうそくにくしょう	8785
上咽頭癌	C119	上咽頭癌	じょういんとうがん	8746
多発性硬化症	G35	多発性硬化症	たはつせいこうかしょう	8697
肥大型心筋症	I422	肥大型心筋症	ひだいがたしんきんしょう	8680
胸膜炎	R091	胸膜炎	きょうまくえん	8633
脳症	G934	脳症	のうしょう	8594
アルコール依存症	F102	アルコール依存症	あるこーるいぞんしょう	8579
無症候性心筋虚血	I256	無症候性心筋虚血	むしょうこうせいしんきんきょけつ	8555
股関節痛	M2555	股関節痛	こかんせつつう	8529
縫合不全	T813	縫合不全	ほうごうふぜん	8481
Ｃ型肝硬変	B182	Ｃ型肝硬変	しーがたかんこうへん	8463
四肢浮腫	R600	四肢浮腫	ししふしゅ	8457
視覚障害	H539	視覚障害	しかくしょうがい	8439
低血糖発作	E162	低血糖発作	ていけっとうほっさ	8437
周期性呼吸	R063	周期性呼吸	しゅうきせいこきゅう	8422
頚椎症	M4782	頚椎症	けいついしょう	8403
肺塞栓症	I269	肺塞栓症	はいそくせんしょう	8386
月経不順	N926	月経不順	げっけいふじゅん	8362
腎癌	C64	腎癌	じんがん	8342
吐下血	K922	吐下血	とげけつ	8319
記憶障害	R413	記憶障害	きおくしょうがい	8276
幻覚妄想状態	F229	幻覚妄想状態	げんかくもうそうじょうたい	8258
低カリウム血症	E876	低カリウム血症	ていかりうむけっしょう	8228
皮膚潰瘍	L984	皮膚潰瘍	ひふかいよう	8224
内痔核	I842	内痔核	ないじかく	8208
神経痛	M7929	神経痛	しんけいつう	8181
下腹痛	R103	下腹痛	かふくつう	8170
爪白癬	B351	爪白癬	つめはくせん	8125
子宮脱	N814	子宮脱	しきゅうだつ	8090
肛門部痛	K628	肛門部痛	こうもんぶつう	8090
眼痛	H571	眼痛	がんつう	8079
耳閉感	R448	耳閉感	じへいかん	8037
低ナトリウム血症	E871	低ナトリウム血症	ていなとりうむけっしょう	7983
味覚異常	R432	味覚異常	みかくいじょう	7966
骨髄異形成症候群	D469	骨髄異形成症候群	こつずいいけいせいしょうこうぐん	7963
白血病	C959	白血病	はっけつびょう	7898
視野狭窄	H534	視野狭窄	しやきょうさく	7895
排尿痛	R309	排尿痛	はいにょうつう	7848
脳室拡大	G938	脳室拡大	のうしつかくだい	7824
鼻炎	J310	鼻炎	びえん	7815
心室中隔欠損症	Q210	心室中隔欠損症	しんしつちゅうかくけっそんしょう	7798
子宮内膜ポリープ	N840	子宮内膜ポリープ	しきゅうないまくぽりーぷ	7797
麻痺性イレウス	K560	麻痺性イレウス	まひせいいれうす	7792
足爪白癬	B351	足爪白癬	あしつめはくせん	7770
完全房室ブロック	I442	完全房室ブロック	かんぜんぼうしつぶろっく	7763
鼻血	R040	鼻血	はなぢ	7733
心筋炎	I514	心筋炎	しんきんえん	7706
顔面紅潮	R232	顔面紅潮	がんめんこうちょう	7684
