患者表現	出現形	標準病名
いしきをうしなった	意識障害	意識障害
いしとはかんけいなくこまかくふるえること	振戦	振戦
いしゃ	表在リンパ節腫脹	リンパ節腫大
いたい	温痛,圧痛,痛み,左前胸部痛	温痛覚過敏,圧痛,疼痛,前胸部痛
いたみ	疼痛,癌性疼痛,左側胸部痛,全身痛	疼痛,癌性疼痛,側胸部痛,全身痛
いちびり	異常感覚	異常触覚,異常知覚
いっっかい	一過性意識障害	一過性意識障害
いっぱい水分とっていっぱいおしっこすること	多飲多尿	多飲症,多尿
いっぱい飲むといっぱい尿が出る	多飲多尿	多飲症,多尿
いつもとは違った感じ	異常感覚	異常触覚,異常知覚
いつもまんぷくとかんじる	腹満感	腹部膨満
いつも咳が出る	慢性咳嗽	慢性咳嗽
いでえ	痛み,激痛	疼痛
いぼ	丘疹,硬結,固縮	丘疹,硬結,こわばり
いもたれ	胃部不快感	腹部不快感
いもてれ	胃部不快感	腹部不快感
いろいろなことがわからなくなる	見当識障害	見当識障害
いろのこいおしっこ	褐色尿	ビリルビン尿
いろんなところのリンパが腫れる	多発リンパ節腫大	リンパ節腫大
いんえい	スリガラス様陰影	胸部異常陰影
いんりょうかた	多飲	多飲症
うき	むくみ	浮腫
うきろくぶつう	右季肋部痛	季肋部痛
うずく	疼痛	疼痛
うずくような痛みのこと	疼痛	疼痛
うちみ	圧痕浮腫,皮下出血斑,圧痛	浮腫,皮下出血,圧痛
うっ血	発赤	発赤
うつ	易疲労感	易疲労感
うつ状態	昏迷	昏迷
うつ病	昏迷,易疲労感	昏迷,易疲労感
うづく	疼痛	疼痛
うなじが固まる	項部硬直	項部硬直
うなじ硬直	項部硬直	項部硬直
うまくしゃべれない	構語障害,呂律困難	構語障害,構音障害
うまく喋れへん	構音障害	構音障害
うまく歩けない	歩行障害	歩行障害
うまく発音できない	構音障害	構音障害
うまく言葉を口に出して言えない	構語障害	構語障害
うまく話せない	運動性失語,呂律困難,呂律不良	運動性失語症,構音障害,不明瞭言語
うまく食べ物を飲み込めない	嚥下困難	嚥下困難
うまく飲み込めない	嚥下困難,嚥下困難感,嚥下機能障害,嚥下障害	嚥下困難,嚥下協調障害,嚥下障害,嚥下障害
うまく飲み込めないこと	嚥下困難感	嚥下困難
うみ	腫瘤,浮腫	腫瘤,浮腫
うめぐねえ	味覚障害	味覚障害
うわっタンに血混じっとる	血痰	血痰
うんこが黒い	黒色便	黒色便
うんこの色が黒い	黒色便	黒色便
えし	乾酪壊死	壊死
えずく	吐き気	嘔気
えづいて吐く	嘔気嘔吐	嘔気,嘔吐症
えでぃま	ｐｉｔｔｉｎｇ　ｅｄｅｍａ	浮腫
えでま	浮腫状変化,粘膜浮腫,左下肢腫脹,圧痕性浮腫	浮腫,下肢腫脹
えらい	易疲労感,疲労感,脱力感	易疲労感,疲労感,脱力感
えらいねつ	高熱	高熱
えんがい	咳	咳
えんげにしょうがいがある	嚥下障害	嚥下障害
えー	嘔吐	嘔吐症
おうけ	吐気,吐き気	嘔気
おうせん	皮膚黄染	黄疸
おうせんいじょう	黄染	黄疸
おうだん	黄染,皮膚黄染,高ビリルビン血症	黄疸,高ビリルビン血症
おうとするじょうたい	吐き気	嘔気
おえつ	喘鳴	喘鳴
おえりそう	嘔気	嘔気
おえる	嘔吐	嘔吐症
おおきい腫瘤	巨大腫瘤	腫瘤
おおきなしゅよう	巨大腫瘤	腫瘤
おおくのむとにょうがおおくでる	多飲多尿	多飲症,多尿
おおのみ	多飲	多飲症
おかしいところ	痛み	疼痛
おかしい感じ方	異常感覚	異常触覚,異常知覚
おかしな行動	異常行動	異常行動
おかしな行動をとる	異常行動	異常行動
おかしな行動を取る	異常行動	異常行動
おしっこおわる	尿閉	尿閉
おしっこがあまり出ない	乏尿	乏尿
おしっこがいっぱい出る	多尿	多尿
おしっこがおおい	多尿	多尿
おしっこがたまらない状態	無尿状態	無尿
おしっこができない	排尿困難	排尿困難
おしっこがでない	無尿,無尿状態,排尿困難	無尿,排尿困難
おしっこがでにくい	排尿障害	排尿障害
おしっこがひんぱん	頻尿	多尿,頻尿症
おしっこがよく出る	頻尿	多尿,頻尿症
おしっこが余りでない	乏尿	乏尿
おしっこが全く出ない	無尿	無尿
おしっこが出しにくい	排尿困難	排尿困難
おしっこが出すぎる	多尿	多尿
おしっこが出づらい	排尿困難	排尿困難
おしっこが出ない	無尿状態,無尿,排尿困難,尿閉,排尿障害,乏尿	無尿,排尿困難,尿閉,排尿障害,乏尿
おしっこが出ないや出が悪い	排尿障害	排尿障害
おしっこが出にくい	排尿障害,排尿困難,尿閉	排尿障害,排尿困難,尿閉
おしっこが変	蛋白尿	蛋白尿
おしっこが多い	多尿,多飲多尿	多尿,多飲症,多尿
おしっこが少ない	乏尿	乏尿
おしっこが少なすぎる	乏尿	乏尿
おしっこが泡立つ	蛋白尿	蛋白尿
おしっこが濃い	褐色尿	ビリルビン尿
おしっこが痛い	排尿時痛	排尿痛
おしっこが茶色い	褐色尿	ビリルビン尿
おしっこが赤い	肉眼的血尿	肉眼的血尿
おしっこが赤いとはっきり分かる	肉眼的血尿	肉眼的血尿
おしっこが近い	頻尿,多飲多尿,多尿	多尿,頻尿症,多飲症,多尿,多尿
おしっこが近いこと	頻尿	多尿,頻尿症
おしっこしたとき痛い	排尿時痛	排尿痛
おしっこしにくい	排尿困難	排尿困難
おしっこすることがむずかしい	排尿困難	排尿困難
おしっこするときに痛みが走る	排尿時痛	排尿痛
おしっこするとき痛い	排尿時痛	排尿痛
おしっこすると痛い	排尿時痛	排尿痛
おしっこするのが難しい	排尿困難	排尿困難
おしっこする時に痛い	排尿時痛	排尿痛
おしっこでない	無尿	無尿
おしっこにすぐに行きたくなる	頻尿	多尿,頻尿症
おしっこにたんぱく混じってる	尿蛋白	蛋白尿
おしっこにタンパクが出た	高度蛋白尿	蛋白尿
おしっこにタンパクが多く残る	蛋白尿	蛋白尿
おしっこに時間がかかる	排尿障害	排尿障害
おしっこに血が出る	尿潜血	顕微鏡的血尿
おしっこに血が混ざる	血尿	血尿
おしっこに血が混じった	血尿	血尿
おしっこに血が混じっている	尿潜血,血尿	顕微鏡的血尿,血尿
おしっこに血が混じってる	肉眼的血尿	肉眼的血尿
おしっこに血が混じる	尿潜血,血尿,肉眼的血尿	顕微鏡的血尿,血尿,肉眼的血尿
おしっこに血のようなものが混ざっている	尿潜血	顕微鏡的血尿
おしっこに高いたんぱく混じってる	高度蛋白尿	蛋白尿
おしっこのとき痛い	排尿時痛	排尿痛
おしっこの出が悪い	排尿障害	排尿障害
おしっこの回数が多い	頻尿	多尿,頻尿症
おしっこの時に痛みを感じる	排尿時痛	排尿痛
おしっこの色がおかしい	褐色尿	ビリルビン尿
おしっこの色が濃い	褐色尿	ビリルビン尿
おしっこの色が茶色っぽい	褐色尿	ビリルビン尿
おしっこの色が褐色	褐色尿	ビリルビン尿
おしっこの量が多い	多尿	多尿
おしっこの量が少ないこと	乏尿	乏尿
おしっこの量が減る	乏尿	乏尿
おしっこをすると痛い	排尿時痛	排尿痛
おしっこをする時の痛み	排尿時痛	排尿痛
おしっこを外に出せなくなる	排尿障害	排尿障害
おしっこ出ない	無尿状態	無尿
おしっこ出にくい	排尿障害	排尿障害
おしっこ出るとこが血で詰まる	尿潜血	顕微鏡的血尿
おしっこ出過ぎ	夜間頻尿	夜間頻尿症
おしっこ異常	尿蛋白	蛋白尿
おしりにいぼ	労作時息切れ	息切れ
おすと痛い	圧痛	圧痛
おたふく	耳下腺腫脹	耳下腺腫脹
おたふくかぜ	耳下腺腫脹,腹部リンパ節腫大	耳下腺腫脹,リンパ節腫大
おたふく風邪	耳下腺腫脹	耳下腺腫脹
おちる	意識消失	意識消失
おっしこが赤い	血尿	血尿
おっつ	運動性失語	運動性失語症
おでき	腫瘍性病変,粒状陰影,腫瘤,嚢胞内出血,腫大リンパ節,圧痕性浮腫,巨大腫瘤,紅色丘疹,皮疹,発疹,浮腫	-1,胸部異常陰影,腫瘤,内出血,リンパ節腫大,浮腫,紅色丘疹,発疹
おでこで水が沸ける	高熱	高熱
おとが、きこえずらい	構音障害	構音障害
おとなしくしてる時に胸が痛い	安静時胸痛	反復性胸痛,胸痛
おとなしくしてる時息するの難しい	安静時呼吸困難	呼吸困難
おなかいた	腹部痛,右下腹部痛,左下腹部痛,右側腹部痛,上腹部痛	腹痛症,下腹痛,腸仙痛,下腹痛,臍下部痛,側腹部痛,上腹部痛
おなかいっぱい	腹部膨満,腹部膨満感	腹部膨満
おなかがいたい	腹部痛,腹痛発作	腹痛症
おなかがいっぱい	腹満	腹部膨満
おなかがおかしい	腹部違和感	腹部不快感
おなかがすかない	食欲不振,腹部膨満感	食欲不振,腹部膨満
おなかがはっている	腹満感	腹部膨満
おなかがふくれているかんじがする	腹部膨満感	腹部膨満
おなかがふくれる	腹部膨隆	腹部膨満
おなかがへらない	食思不振	食欲不振
おなかが一杯	腹部膨満	腹部膨満
おなかが変な感じ	腹部不快感,腹部違和感	腹部不快感
おなかが張っているような感じ	腹満感	腹部膨満
おなかが張る	腹部膨満感,腹部膨満	腹部膨満
おなかが減りにくい	食欲低下	食欲不振
おなかが痛い	腹痛,腹痛発作,上腹部不快感	腹痛症,腹壁痛,仙痛,腹痛症,腹部不快感
おなかが膨れる	膨満	腹部膨満
おなかにたまった水に血が含まれている	血性腹水	血性腹水
おなかにペットボトルを2本も抱えたような居心地の悪さ	腹水貯留	腹水症
おなかに水がたまる	腹水貯留,大量腹水	腹水症
おなかに水が溜まってなかなか治らない	難治性腹水	難治性腹水
おなかに違和感がある	腹部不快感	腹部不快感
おなかのしこり	腹部腫瘤	腹部腫瘤
おなかのできもの	腹腔内腫瘤	腹腔内腫瘤
おなかのはり	腹部膨満感	腹部膨満
おなかのハリ	腹部膨満感,腹部膨満	腹部膨満
おなかの上がいたい	上腹部痛	上腹部痛
おなかの中のこぶ	腹腔内腫瘤	腹腔内腫瘤
おなかの具合が悪い	腹痛発作	腹痛症
おなかの右上が痛い	右上腹部痛	上腹部痛
おなかの部分が盛り上がる	腹部膨隆	腹部膨満
おなか痛	左側腹部痛	側腹部痛
おなら	高炭酸ガス血症	高炭酸ガス血症
おねしょ	無尿,夜間頻尿	無尿,夜間頻尿症
おねつ	微熱,発熱	微熱,発熱
おほおほ	咳	咳
おぼえることができない	記憶障害	記憶障害
おむつが必要になった	排尿障害	排尿障害
おもい	倦怠感	倦怠感
おもぐるしい痛み	鈍痛	鈍痛
おもてにあるりいぱせつがはれる	表在リンパ節腫脹	リンパ節腫大
おもらし	排尿困難	排尿困難
おんつう	温痛覚障害,温痛	温痛覚過敏
お漏らし	夜間頻尿	夜間頻尿症
お灸	丘疹	丘疹
お熱	熱,発熱	発熱
お腹いた	腹部痛,左側腹部痛,腹痛	腹痛症,側腹部痛,腹痛症,腹壁痛,仙痛
お腹いっぱい	腹満感,腹部膨満感,腹満,膨満	腹部膨満
お腹がいたい	腹部痛,腹痛	腹痛症,腹痛症,腹壁痛,仙痛
お腹がいっぱい	腹満感,腹部膨満感	腹部膨満
お腹がいっぱいの感じ	腹部膨満	腹部膨満
お腹がいっぱいの感じがする	腹満感	腹部膨満
お腹がきつい	腹満,膨満	腹部膨満
お腹がすかない	食欲不振,食欲低下	食欲不振
お腹がなんとなく気持ち悪い	腹部不快感	腹部不快感
お腹がはってる	腹部膨満感,腹水	腹部膨満,腹水症
お腹がはる	腹部膨満感,腹水,腹満感,腹水貯留,腹部膨満	腹部膨満,腹水症
お腹がふくれる	腹満,膨満	腹部膨満
お腹がむかむかする	腹部不快感	腹部不快感
お腹がチクチクする	腹痛	腹痛症,腹壁痛,仙痛
お腹がパンパン	腹満感	腹部膨満
お腹がムカムカする	上腹部不快感	腹部不快感
お腹がモヤモヤする	腹部不快感	腹部不快感
お腹が出ている	腹部膨隆	腹部膨満
お腹が変	腹部違和感,難治性腹水	腹部不快感,難治性腹水
お腹が張った感じ	腹満感	腹部膨満
お腹が張っている	腹満感,腹部膨満感,腹満,膨満	腹部膨満
お腹が張っている感じ	腹部膨満感	腹部膨満
お腹が張ってる	腹部膨満	腹部膨満
お腹が張って苦しい	腹部膨満,腹部膨満感	腹部膨満
お腹が張る	腹部膨満感,腹部膨満,膨満,腹満,腹満感,腹部腫瘤,腹水	腹部膨満,腹部腫瘤,腹水症
お腹が張ること	腹満	腹部膨満
お腹が張る感じ	腹満感	腹部膨満
お腹が気持ち悪い	腹部不快感,腹部違和感,胃部不快感	腹部不快感
お腹が減らない	食思不振	食欲不振
お腹が痛い	腹痛,腹部痛,下腹部痛,腹痛発作,上腹部痛,左季肋部痛,右上腹部痛,左下腹部痛,腹部不快感	腹痛症,腹壁痛,仙痛,腹痛症,下腹痛,上腹部痛,季肋部痛,下腹痛,臍下部痛,腹部不快感
お腹が痛いこと	腹痛	腹痛症,腹壁痛,仙痛
お腹が痛くなる	腹痛発作	腹痛症
お腹が痛くなること	腹痛発作	腹痛症
お腹が痛む	腹痛	腹痛症,腹壁痛,仙痛
お腹が硬くなる	筋性防御	筋性防御
お腹が脹れる	腹部膨満感	腹部膨満
お腹が腫れる	腹部膨満	腹部膨満
お腹が膨らむ	腹部膨満,腹部膨隆	腹部膨満
お腹が膨らむ感じがする	腹満感	腹部膨満
お腹が膨らんで	腹満	腹部膨満
お腹が膨れた感じ	腹部膨満感	腹部膨満
お腹が膨れた感じがする	腹部膨満感	腹部膨満
お腹が膨れた感じがする症状	腹満	腹部膨満
お腹が膨れた感覚	腹部膨満感	腹部膨満
お腹が膨れている	腹満,腹部膨満感	腹部膨満
お腹が膨れて苦しい	腹部膨満,腹部膨満感	腹部膨満
お腹が膨れる	腹部膨満,腹部膨隆,膨満,腹部膨満感	腹部膨満
お腹が膨れ上がる	腹部膨隆	腹部膨満
お腹が重い	腹部痛,腹部不快感	腹痛症,腹部不快感
お腹すかない	食思不振	食欲不振
お腹にこぶができている	腹腔内腫瘤	腹腔内腫瘤
お腹にたまった水	腹水	腹水症
お腹にたまった水に血が混じっている	血性腹水	血性腹水
お腹にたまる水	腹水	腹水症
お腹にできもの	腹部腫瘤	腹部腫瘤
お腹にガスがたまる	腹部膨満	腹部膨満
お腹にガスがたまる感覚	腹部膨満感	腹部膨満
お腹に出来たできもの	腹部腫瘤	腹部腫瘤
お腹に変な感じ	腹部不快感	腹部不快感
お腹に水	腹水	腹水症
お腹に水がたまった	腹水	腹水症
お腹に水がたまる	腹水,腹水貯留,大量腹水,難治性腹水,血性腹水	腹水症,難治性腹水,血性腹水
お腹に水がたまること	腹水	腹水症
お腹に水が溜まってる	腹水貯留	腹水症
お腹に水が溜まりやすい	難治性腹水	難治性腹水
お腹に水が溜まる	腹水貯留	腹水症
お腹に水が貯まる	腹水	腹水症
お腹に溜まった水	腹水	腹水症
お腹に瘤がある	腹部腫瘤	腹部腫瘤
お腹に瘤状の出来物	腹部腫瘤	腹部腫瘤
お腹に血がたまる	血性腹水	血性腹水
お腹に血が混じった水がたまる	血性腹水	血性腹水
お腹に血状の水分が溜まる	血性腹水	血性腹水
お腹に違和感	腹部不快感	腹部不快感
お腹に違和感がある	腹部不快感,腹部違和感	腹部不快感
お腹のあたりが気持ち悪い	腹部不快感	腹部不快感
お腹のあたりが気持ち悪い症状	腹部不快感	腹部不快感
お腹のしこり	腹腔内腫瘤	腹腔内腫瘤
お腹のなかのリンパ節が腫れる	腹腔内リンパ節腫脹	リンパ節腫大
お腹のはり	腹部膨満感	腹部膨満
お腹のリンパが腫れた	腹腔内リンパ節腫大	リンパ節腫大
お腹のリンパが腫れていること	腹腔内リンパ節腫大	リンパ節腫大
お腹のリンパが腫れる	腹腔内リンパ節腫脹,腹部リンパ節腫大,腹腔内リンパ節腫大	リンパ節腫大
お腹のリンパのガン	腹部リンパ節腫大	リンパ節腫大
お腹のリンパ節がはれる	腹部リンパ節腫大	リンパ節腫大
お腹のリンパ節が腫れていること	腹腔内リンパ節腫脹	リンパ節腫大
お腹の上が痛い	上腹部痛	上腹部痛
お腹の上の方が痛い	上腹部痛	上腹部痛
お腹の上の部分が痛い	上腹部痛	上腹部痛
お腹の上側が気持ち悪い	上腹部不快感	腹部不快感
お腹の上辺りが気持ち悪い感じ	上腹部不快感	腹部不快感
お腹の上部が痛い	上腹部痛	上腹部痛
お腹の上部で違和感がある	上腹部不快感	腹部不快感
お腹の上部の痛み	上腹部痛	上腹部痛
お腹の下が痛い	下腹部痛	下腹痛
お腹の下の方が痛い	下腹部痛	下腹痛
お腹の中に腫瘍ができる	腹腔内腫瘤	腹腔内腫瘤
お腹の中のリンパ節が腫れる	腹腔内リンパ節腫大	リンパ節腫大
お腹の中の腫瘍	腹腔内腫瘤	腹腔内腫瘤
お腹の右が痛い	右下腹部痛,右側腹部痛	下腹痛,腸仙痛,側腹部痛
お腹の右の上が痛い	右上腹部痛	上腹部痛
お腹の右上あたりが痛い	右上腹部痛	上腹部痛
お腹の右上が痛い	右上腹部痛	上腹部痛
お腹の右上の痛み	右上腹部痛	上腹部痛
お腹の右下が痛い	右下腹部痛	下腹痛,腸仙痛
お腹の右下の痛み	右下腹部痛	下腹痛,腸仙痛
お腹の右下側が痛い	右下腹部痛	下腹痛,腸仙痛
お腹の右側が痛い	右側腹部痛	側腹部痛
お腹の右側の痛み	右側腹部痛	側腹部痛
お腹の左が痛い	左下腹部痛,左側腹部痛	下腹痛,臍下部痛,側腹部痛
お腹の左上が痛む	左上腹部痛	上腹部痛
お腹の左下が痛い	左下腹部痛	下腹痛,臍下部痛
お腹の左下側が痛い	左下腹部痛	下腹痛,臍下部痛
お腹の張り	腹部膨満感,腹満,腹部腫瘤,腹部不快感,腹部膨満	腹部膨満,腹部腫瘤,腹部不快感
お腹の横が痛い	側腹部痛	側腹部痛
お腹の発作	腹痛発作	腹痛症
お腹の腫瘤	腹部腫瘤	腹部腫瘤
お腹の調子が悪い	腹部違和感	腹部不快感
お腹の違和感	腹部違和感,腹部不快感	腹部不快感
お腹右上部の痛み	右上腹部痛	上腹部痛
お腹減らない	食思不振,食欲不振	食欲不振
お腹痛	腹痛	腹痛症,腹壁痛,仙痛
お腹痛い	腹痛,腹痛発作	腹痛症,腹壁痛,仙痛,腹痛症
お腹空かない	食欲不振,食欲低下	食欲不振
お腹部分の違和感	腹部違和感	腹部不快感
かいかい	皮疹	発疹
かおいろがわるい	顔色不良	顔面蒼白
かおいろふりょう	顔色不良	顔面蒼白
かおいろわる	顔色不良	顔面蒼白
かおいろわるい	顔色不良	顔面蒼白
かげ	肺陰影,線状影	胸部異常陰影
かげがくもりガラス状にみえる	スリガラス状陰影	胸部異常陰影
かげってる	スリガラス陰影	胸部異常陰影
かこきゅう	頻呼吸	頻呼吸
かさぶた	痂皮,落屑,出血斑	痂皮,鱗屑,斑状出血
かさぶたがおおきくなった	腫大	リンパ節腫大
かさぶたの変化	浮腫性変化	浮腫
かしむくみ	下肢浮腫	下肢浮腫
かじん	味覚異常	味覚異常
かすれ声	嗄声	嗄声
かぜ	熱	発熱
かぜ、風邪	発熱	発熱
かたくなる	こわばり	こわばり
かたまりのこと	ｍａｓｓ	腫瘤
かたまる	こわばり	こわばり
かっしょくのションベン	褐色尿	ビリルビン尿
かったりい	倦怠感	倦怠感
かったるい	全身倦怠感,倦怠感	全身倦怠感,倦怠感
かっ血	血痰	血痰
かどう	寡動	行動緩慢
かなしばり	痙攣重積状態	痙攣重積発作
かひ	痂皮	痂皮
かぶれ	痂皮,皮疹,発疹,発赤	痂皮,発疹,発赤
かぶれる	発疹	発疹
かゆい	皮疹,疼痛	発疹,疼痛
かゆみ	丘疹,皮疹	丘疹,発疹
かゆみのある場所	皮疹	発疹
からからせき	乾性咳	乾性咳
からせき	乾性咳	乾性咳
からぜき	乾性咳	乾性咳
からだがしびれて動きにくい	しびれ感	しびれ感
からだがだるい	全身倦怠感	全身倦怠感
からだのむくみ	全身性浮腫	全身性浮腫
からだの先端が腐る	壊死	壊死
から咳	乾性咳嗽,乾性咳	乾性咳
かわいたせき	乾性咳嗽	乾性咳
かわいた咳	乾性咳	乾性咳
かわき	口渇感	口渇症
かわしたしゅっけつはん	皮下出血斑	皮下出血
かわむけ	落屑	鱗屑
かんかくがかびん	温痛覚低下	知覚鈍麻
かんきがおかしい	拘束性換気障害	拘束性換気障害
かんせん	黄染	黄疸
か呼吸	頻呼吸	頻呼吸
がすだまり	腹部膨満感	腹部膨満
がたがた震える	強直性痙攣	強直性痙攣
がまんできない腹痛	急性腹症	急性腹症
がらがらごえ	嗄声	嗄声
がり	体重減少	体重減少
がん	腫瘍性病変,腹腔内腫瘤,巨大腫瘤,ＣＥＡ高値,肺門リンパ節腫大,嚢胞性腫瘤,多発リンパ節腫脹,脾腫,頚部腫瘤,頚部リンパ節腫脹,肝脾腫,リンパ節腫大	-1,腹腔内腫瘤,腫瘤,ＣＥＡ高値,肺門リンパ節腫脹,リンパ節腫大,脾腫,頚部腫瘤,頚部リンパ節腫脹,肝脾腫
がんがん	頭痛	頭痛
がんの痛み	癌性疼痛	癌性疼痛
がん性痛	癌性疼痛	癌性疼痛
がん腫瘍	リンパ節腫大	リンパ節腫大
きおくがおかしい	記銘力障害	記銘力低下,記憶障害
きおくがおかしくなる	記銘力障害	記銘力低下,記憶障害
きおくしょうがい	物忘れ	健忘症
きちがい	意識障害	意識障害
きちんと循環しない	循環不全	急性循環不全,末梢循環不全
きちんと歩けない	歩行困難	歩行困難
きつおんしょうがい	構音障害	構音障害
きつぎゃく	吃逆	横隔膜痙攣症,しゃっくり
きのうしょうがい	嚥下機能障害	嚥下協調障害,嚥下障害
きもい	吐き気	嘔気
きもちが悪い	嘔気	嘔気
きゅうしん	丘疹	丘疹
きょうく	胸苦	胸部不快感
きょうすい	膵性胸水	胸水検査異常
きょうつう	心窩部痛	心窩部痛
きょうつぶう	左前胸部痛	前胸部痛
きょうふつ	左側胸部痛	側胸部痛
きょうぶえいいじょう	胸部異常影	胸部異常陰影
きょうぶがいたい	胸痛	胸痛
きょうぶつう	左胸部痛	胸痛
きょだつ	虚脱	虚脱
きりきりする	腹痛	腹痛症,腹壁痛,仙痛
きをうしなう	失神発作	失神
くいだぐね	食欲不振,摂食不良	食欲不振,摂食機能障害
