症例から学ぶくん,標準病名,コメント,選択肢->標準病名
口・喉・あごのヘルペス,口唇ヘルペス,いつ頃から口唇ヘルペスがありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
泌尿器・肛門のヘルペス,陰部ヘルペス,,
皮膚のヘルペス,ヘルペス,,
ほてり,ほてり,,
まぶしい,羞明,いつ頃から、どのような時にまぶしさを感じますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
みぞおちの痛み,心窩部痛,,
全身のむくみ,浮腫,いつから、どこに浮腫があるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
肩, 腕, 手のむくみ,上肢浮腫,いつ頃から浮腫があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
足のむくみ・はれもの,下肢浮腫,,
めまい,めまい,いつ頃から、どのような時にめまいがあるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
頭のやけど,頭部熱傷,いつ、何故やけどをしたのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
顔のやけど,顔面熱傷,いつ、何故やけどをしたのか、症状の経過なども併せて伝えましょう。,
首のやけど,頸部熱傷,いつ、何故やけどをしたのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
肩, 腕, 手のやけど,上肢熱傷,いつ、何故やけどをしたのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
胸のやけど,胸部熱傷,,
腹のやけど,腹部熱傷,,
泌尿器・肛門のやけど,肛門熱傷,,
足のやけど,下肢熱傷,,
皮膚のやけど,熱傷,,
腰のやけど,背部熱傷,,
意識障害,意識障害,,
胃が痛い,胃痛,,
胃もたれ,腹部不快感,,
飲み込みにくい,嚥下障害,いつ頃から、どのようなものを飲み込みにくいと感じるようになりましたか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
下痢,下痢,,
花粉症,花粉症,具体的な症状や、経過などを併せて伝えましょう。,
過食,過食,,
開眼困難・目が開けにくい,開眼困難,いつ頃から、どのような時に困難を感じますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
外反母趾（がいはんぼし）,外反母趾,,
寒気,悪寒,いつから悪寒があるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
全身の関節痛,関節痛,いつから痛みがあるのか、症状の経過、 気が付いた事などもあれば併せて伝えましょう。,
肩, 腕, 手の関節痛,上肢関節痛,いつから痛みがあるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
足の関節痛,下肢関節痛,,
眼が痛い,眼痛,いつ頃から、どんな時に、どのように痛いですか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
顔・頚部(くび)の腫れ,頸部浮腫,いつから浮腫があるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
顔が痛い,顔面痛,いつから、どのような痛みがあるのか、症状の経過なども併せて伝えましょう。,
顔面の異常(違和感),顔面のこわばり感,いつ頃から、どのようなこわばり感がありますか？ 気が付いた点などもあれば併せて伝えましょう。,
記憶がない行動,記憶障害,,
拒食,拒食,,
胸が苦しい,胸部圧迫感,,
胸が痛い,胸痛,いつから、どんな時に、どのような痛みがあるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
胸やけ,胸やけ,,
全身の筋肉痛,筋肉痛,いつから筋肉痛があるのか、原因と思われる事柄、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
首の筋肉痛,頚肩部筋肉痛,いつから筋肉痛があるのか、原因と思われる事柄、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
肩・腕・手の筋肉痛,上肢筋肉痛,いつから筋肉痛があるのか、原因と思われる事柄、症状の経過なども併せて伝えましょう。,
腰の筋肉痛,背部筋肉痛,,
足の筋肉痛,下肢筋肉痛,,
血圧が高めである,高血圧,毎日血圧を測定し、適度な運動とバランスのとれた食事を心がけましょう。,
血圧が低めである,低血圧,自覚する他の症状はありますか？ バランスの良い食事、軽い運動なども心がけましょう。,
血便,血便,,
血便,血便,,
肩が痛い,肩痛,いつから痛みがあるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
肩こり,肩こり,いつから肩こりがあるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
見えにくい,弱視,いつ頃から、どのように見えにくいですか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
幻覚を見る,せん妄,,
呼吸困難,呼吸困難,いつから、どのような時に呼吸困難の症状があるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
口内炎・口唇炎,口内炎,いつ頃から口内炎がありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
硬便,硬便,,
黒色便,黒色便,,
腰が痛い（腰痛),腰痛,,
残尿感,残尿感,,
残便感,残便感,,
四十肩・五十肩,肩関節周囲炎,いつから肩関節周囲炎の症状があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
痔,痔核,,
耳あか,耳垢,いつ頃から、どのくらいの耳垢がありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
耳がふさがった感じ,耳閉感,いつ頃から、どのような時に耳閉感がありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
耳が痛い,耳痛,いつ頃から、どんな時に、どのように痛いですか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
耳だれ,耳漏,いつ頃から耳漏がありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
耳鳴り,耳鳴,いつ頃から、どのような時に耳鳴がありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
自律神経の乱れ,自律神経失調,,
湿疹（皮膚炎）,湿疹,,
手が痛い,手痛,いつから、どのような痛みがあるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
手足のふるえ,四肢振戦,いつから、どのようなふるえがあるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
手足の動きが悪い,運動失調,いつ頃から、どのように運動失調が認められますか？ 気が付いた事などもあれば併せて伝えましょう。,
首が回らない,頸部捻挫,いつから首が回らないのか、原因と思われる事柄、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
首が痛い,頸部痛,いつから、どんな時に、どのような痛みがあるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
消化不良,消化不良,,
食べ物や異物を気管内に飲み込んだ（誤嚥）,誤嚥,その後の経過や、気が付いた点などもあれば併せて伝えましょう。,
食欲不振,食欲不振,,
寝汗,寝汗,いつ頃から、どのくらいの寝汗をかくようになりましたか？ 気が付いた点などもあれば併せて伝えましょう。,
全身の神経痛,神経痛,いつから、どのような痛みがあるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
腰の神経痛,背部神経痛,,
身体がしびれている,全身のしびれ感,いつからしびれ感があるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
身体が痛い,全身痛,いつから、どのような時に、どのような痛みを感じるか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
人に見られている気がする,自己視線恐怖,,
水虫（白癬菌）,白癬,,
水虫（白癬菌）,白癬,,
睡眠時の無呼吸,睡眠時無呼吸,いつ頃から睡眠時無呼吸が認められますか？ 気が付いた事などもあれば併せて伝えましょう。,
睡眠時の無呼吸,睡眠時無呼吸,,
性感染症の疑い（性病など）,性感染症,,
性器のかゆみ,外陰部そう痒症,,
声のかすれ［嗄声（させい）］,発声障害,いつ頃から、どのくらいの頻度で、どのように声のかすれがありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
舌が痛い,舌痛症,いつから、どんな時に、どのような痛みがあるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
舌のあれ,舌炎,いつ頃から舌炎がありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
早期膨満感,早期膨満感,,
早期膨満感,早期膨満感,,
息切れ,息切れ,いつから、どのような時に息切れが認められるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
足の痛み,足部痛,,
体重減少,体重減少,いつ頃から、どのくらいの体重減少がありますか？ 思い当たる原因などがあれば併せて伝えましょう。,
体重増加,体重増加,いつ頃から、どのくらいの体重増加がありましたか？ 思い当たる原因などがあれば併せて伝えましょう。,
帯状疱疹（帯状ヘルペス）,帯状疱疹,,
脱臼（だっきゅう）,脱臼,いつ、なぜ脱臼をしたのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
知覚過敏,知覚過敏,いつ頃から知覚過敏がありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
虫さされ,虫刺症,,
痛み,皮膚疼痛症,,
爪の異常,爪の異常,,
吐き気,悪心,いつから、どのような時に悪心があるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
頭が痛い,頭痛,いつから、どのような時に、どのような頭痛があるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
頭のかゆみ,頭部脂漏,いつ頃から、どのように頭部脂漏が認められますか？ 気が付いた事などもあれば併せて伝えましょう。,
動悸,動悸,いつから、どのような時に動悸が認められるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
日焼け・しみ・そばかす,日焼け,,
乳房の痛み、しこり,乳房腫瘤,,
尿が出なくなった,尿閉,,
尿が出るまでに時間がかかる,排尿困難,,
尿が濁る,混濁尿,,
尿が漏れる（尿失禁）,尿失禁,,
尿に血が混じる,血尿,,
尿の回数が多い,頻尿,,
尿道から膿が出る,尿道膿汁流出,,
尿道その他外傷,尿道損傷,,
熱がある,発熱,いつから発熱があるのか、具体的な体温と、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
肩・腕・手の捻挫（ねんざ）,上肢捻挫,いつ、なぜ捻挫をしたのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
足の捻挫（ねんざ）,下肢捻挫,,
濃い尿色,濃縮尿,,
排尿時の痛み,排尿時痛,,
排尿時不快感,排尿時不快感,,
排便時の痛み,排便時痛,,
背中が痛い,背部痛,,
肌あれ,皮脂欠乏症,,
発汗・冷汗,多汗,いつ頃から、どのような汗をかくようになりましたか？ 気が付いた点などもあれば併せて伝えましょう。,
抜け毛・脱毛,脱毛,いつ頃から、どのくらいの脱毛がありますか？ 気が付いた点などもあれば併せて伝えましょう。,
泌尿器の痛み,尿道痛,,
疲れ・倦怠感,疲労,いつから、どのような時に疲労を感じるか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
皮膚のかゆみ,掻痒,,
鼻がつまる,鼻閉,いつ頃から鼻閉がありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
鼻出血（鼻血）,鼻血,いつ頃から、どんな時に、どのくらい鼻血が出ますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
鼻水がでる,鼻漏,いつ頃から、どのくらいの鼻漏がありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
頻便,頻便,,
不安やパニック発作,パニック障害,,
腹囲増大,腹部拡大,,
物が二重に見える,複視,いつ頃から二重に見えますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
物忘れ（認知機能の低下）,認知症,いつ頃から、具体的にどのような症状が認められるのか、症状の経過なども併せて伝えましょう。,
聞こえにくい,難聴,いつ頃から、どのように聞こえにくいですか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
便の色が薄い,便色異常,,
便通変化,便通異常,,
便秘,便秘,,
歩きにくい,歩行困難,いつから、どのように歩きにくいのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
勃起障害,勃起障害,,
全身の麻痺,麻痺,いつから、どのような麻痺があるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
肩・腕・手の麻痺,上肢麻痺,いつ頃から、どのような麻痺があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
足の麻痺,下肢麻痺,,
味覚障害,味覚障害,いつ頃から味覚異常がありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
脈拍の異常,心拍異常,,
眠れない,不眠,,
目やに,眼脂,いつ頃から、眼脂が生じますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
涙が出る,流涙,いつ頃から、どのような時に涙が出ますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
涙液減少（眼が乾く）,涙液減少,いつ頃から、眼の乾きを感じますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
冷え症,冷え症,症状の経過、状態、気が付いた点などもあれば併せて伝えましょう。,
冷え症,冷え症,,
労作時の呼吸困難,労作時呼吸困難,いつから呼吸困難の症状があるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
腕が痛い,上腕痛,いつから、どんな時に、どのような痛みがあるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
喘息,喘息,,
肩・腕・手の痙攣（けいれん）,上肢痙縮,いつから、どのような痙攣があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
足の痙攣（けいれん）,下肢痙攣,,
肛門のかゆみ,肛門そう痒症,,
肛門の痛み,肛門部痛,,
